nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.4117647058823529,2.59,2.23,2.49,3.11,57.88%
Strawberries,0.3473389355742297,2.52,2.36,2.61,3.61,95.42%
Strawberries,0.32212885154061627,2.84,2.74,3.25,3.11,124.44%
Strawberries,0.29971988795518206,3.06,2.37,2.62,2.82,117.40%
Strawberries,0.29971988795518206,2.36,2.25,2.25,2.81,93.40%
Strawberries,0.3361344537815126,2.36,1.87,2.69,3.19,83.15%
Strawberries,0.25490196078431376,1.99,2.29,2.87,2.87,129.82%
Strawberries,0.2296918767507003,2.52,2.62,3.37,2.99,187.50%
Strawberries,0.4397759103641457,3.12,2.62,2.61,2.99,62.00%
Strawberries,0.5098039215686274,3.62,3.87,3.27,4.12,86.00%
Strawberries,0.7198879551820728,3.49,3.24,4.49,5.11,48.45%
Strawberries,0.7899159663865546,3.93,3.62,4.74,4.86,42.92%
Strawberries,0.7563025210084033,3.96,3.83,4.49,4.86,48.78%
Strawberries,0.7198879551820728,3.15,3.24,3.32,4.99,33.64%
Strawberries,0.6862745098039215,3.36,2.99,4.16,3.99,37.83%
Strawberries,0.6862745098039215,2.99,3.12,4.12,3.99,35.17%
Strawberries,0.6862745098039215,3.36,3.74,4.49,3.61,44.49%
Strawberries,0.6862745098039215,3.37,3.99,4.99,4.36,58.84%
Strawberries,0.5266106442577031,3.86,4.12,4.99,4.37,110.44%
Strawberries,0.5266106442577031,4.49,4.99,4.99,5.11,137.62%
Strawberries,0.8963585434173669,4.99,5.74,4.99,4.49,49.48%
Strawberries,1.0,5.32,5.49,4.99,5.66,43.07%
Strawberries,1.0,4.49,4.99,4.99,5.49,33.07%
Strawberries,0.7899159663865546,3.74,3.42,4.24,4.99,36.58%
Strawberries,0.6666666666666666,3.99,3.26,3.99,4.66,55.27%
Strawberries,0.557422969187675,3.31,2.99,3.74,4.66,69.35%
Strawberries,0.4761904761904762,3.24,2.92,3.12,3.81,74.07%
Strawberries,0.45098039215686275,3.11,2.57,3.62,3.99,85.61%
Strawberries,0.4173669467787115,2.99,2.57,3.37,3.49,85.93%
Strawberries,0.3473389355742297,3.36,3.49,3.24,3.99,147.89%
Strawberries,0.2661064425770308,3.36,2.83,3.37,3.99,199.78%
Strawberries,0.29971988795518206,2.86,2.49,3.74,3.99,161.60%
Strawberries,0.31652661064425774,3.24,2.82,3.62,4.24,165.65%
Strawberries,0.31652661064425774,3.41,2.94,3.37,4.49,171.18%
Strawberries,0.3865546218487395,3.16,3.07,3.74,4.49,131.73%
Strawberries,0.4761904761904762,2.92,2.52,3.49,3.99,71.81%
Strawberries,0.4565826330532213,2.74,2.15,3.24,3.99,67.40%
Strawberries,0.3361344537815126,2.49,1.93,2.87,3.87,102.17%
Strawberries,0.24649859943977592,2.11,2.16,2.43,2.74,122.64%
Strawberries,0.2296918767507003,2.44,2.25,2.62,3.24,163.75%
Strawberries,0.2296918767507003,2.32,2.19,2.87,3.24,165.50%
Strawberries,0.2296918767507003,2.24,2.22,2.75,3.12,158.25%
Strawberries,0.25490196078431376,2.44,1.92,2.36,2.99,122.71%
Strawberries,0.24649859943977592,2.32,2.04,2.62,3.24,141.04%
Strawberries,0.2661064425770308,2.32,2.17,3.24,2.74,131.64%
Strawberries,0.23809523809523814,2.49,1.99,2.25,2.99,135.92%
Strawberries,0.20448179271708689,2.57,2.29,2.5,3.37,194.78%
Strawberries,0.20728291316526615,2.5,1.79,2.75,3.74,192.93%
Strawberries,0.3697478991596639,3.52,1.64,3.24,3.74,102.33%
Strawberries,0.3697478991596639,2.82,1.82,2.87,2.62,68.83%
Strawberries,0.3921568627450981,2.29,2.05,2.62,2.37,47.63%
Strawberries,0.36414565826330536,2.22,2.05,1.75,2.87,50.17%
Strawberries,0.288515406162465,2.62,2.12,2.87,2.87,116.53%
Strawberries,0.28291316526610644,2.86,2.0,2.12,2.37,96.43%
Strawberries,0.2661064425770308,2.32,1.62,2.12,2.75,94.91%
Strawberries,0.2184873949579832,2.04,2.07,2.5,2.74,143.49%
Strawberries,0.17647058823529416,2.04,2.32,2.62,3.24,215.43%
Strawberries,0.2296918767507003,2.23,2.32,2.37,2.87,144.75%
Strawberries,0.24649859943977592,2.49,1.99,2.75,2.62,132.31%
Strawberries,0.2661064425770308,2.57,2.32,2.34,3.24,131.64%
Strawberries,0.2661064425770308,2.69,2.49,2.12,2.99,127.65%
Strawberries,0.4397759103641457,2.87,2.09,2.37,2.99,47.43%
Strawberries,0.4761904761904762,2.69,2.49,3.24,3.99,65.03%
Strawberries,0.4397759103641457,2.69,2.49,3.12,3.24,64.86%
Strawberries,0.4397759103641457,2.99,2.97,2.84,3.12,70.29%
Strawberries,0.4397759103641457,2.74,2.74,2.75,3.37,65.71%
Strawberries,0.3361344537815126,3.24,3.79,3.74,3.32,155.25%
Strawberries,0.3361344537815126,3.49,4.09,4.24,4.74,200.00%
Strawberries,0.8263305322128851,4.24,4.96,4.49,5.49,53.19%
Strawberries,0.9299719887955182,4.11,4.84,4.99,6.49,45.93%
Strawberries,0.876750700280112,4.21,4.59,4.99,6.32,51.89%
Strawberries,0.8599439775910364,4.22,4.49,4.49,6.49,51.46%
Strawberries,0.8263305322128851,3.99,3.74,4.24,6.32,46.09%
Strawberries,0.7899159663865546,3.87,3.74,3.99,5.74,44.50%
Strawberries,0.6862745098039215,4.16,3.49,3.37,5.99,61.69%
Strawberries,0.5098039215686274,3.74,3.47,3.99,5.24,105.50%
Strawberries,0.3697478991596639,3.56,3.49,3.74,5.24,167.17%
Strawberries,0.4145658263305322,3.74,3.24,3.62,4.99,134.79%
Strawberries,0.4061624649859944,3.49,3.56,3.49,4.99,138.19%
Strawberries,0.4761904761904762,3.64,3.19,3.62,4.99,105.32%
Strawberries,0.4285714285714286,3.64,3.32,3.99,5.32,137.87%
Strawberries,0.4929971988795518,3.59,3.14,3.99,5.32,106.70%
